TpMarkReplicate	bigWig_ID	pseudorepPeak_ID					
H000H3K27acX1	ENCFF708BYF	ENCFF015EZJ					
H000H3K27acX2	ENCFF591HOV	ENCFF015EZJ					
H000H3K27me3X1	ENCFF094CHV	ENCFF737WLY					
H000H3K27me3X2	ENCFF750ZZF	ENCFF737WLY					
H000H3K36me3X1	ENCFF517HRZ	ENCFF581OQV					
H000H3K36me3X2	ENCFF939UWC	ENCFF581OQV					
H000H3K4me1X1	ENCFF133XXN	ENCFF925SGK					
H000H3K4me1X2	ENCFF663RUL	ENCFF925SGK					
H000H3K4me2X1	ENCFF172PEP	ENCFF406DVN					
H000H3K4me2X2	ENCFF409HPE	ENCFF406DVN					
H000H3K4me3X1	ENCFF701PCT	ENCFF094KDE					
H000H3K4me3X2	ENCFF884RQL	ENCFF094KDE					
H000H3K9acX1	ENCFF259VQV	ENCFF687YGS					
H000H3K9acX2	ENCFF076BDO	ENCFF687YGS					
H000H3K9me3X1	ENCFF427EIE	ENCFF683XWT					
H000H3K9me3X2	ENCFF964SUT	ENCFF683XWT					
H000H4K20me1X1	ENCFF271HGO	ENCFF180HES					
H000H4K20me1X2	ENCFF219BOE	ENCFF180HES					
H003H3K27acX1	ENCFF872JZV	ENCFF869HPN					
H003H3K27acX2	ENCFF594BYF	ENCFF869HPN					
H003H3K27me3X1	ENCFF104OPP	ENCFF549EMY					
H003H3K27me3X2	ENCFF832QAF	ENCFF549EMY					
H003H3K36me3X1	ENCFF009JAC	ENCFF409XOU					
H003H3K36me3X2	ENCFF084HKL	ENCFF409XOU					
H003H3K4me1X1	ENCFF952RME	ENCFF458TVC					
H003H3K4me1X2	ENCFF123QVM	ENCFF458TVC					
H003H3K4me2X1	ENCFF725WZI	ENCFF042OQQ					
H003H3K4me2X2	ENCFF102ROV	ENCFF042OQQ					
H003H3K4me3X1	ENCFF665PIL	ENCFF273GUT					
H003H3K4me3X2	ENCFF884RQL	ENCFF273GUT					
H003H3K9acX1	ENCFF527OFO	ENCFF054KLX					
H003H3K9acX2	ENCFF314XIJ	ENCFF054KLX					
H003H3K9me3X1	ENCFF722QKI	ENCFF880BVW					
H003H3K9me3X2	ENCFF136APF	ENCFF880BVW					
H003H4K20me1X1	ENCFF809GTU	ENCFF797HVV					
H003H4K20me1X2	ENCFF337TOP	ENCFF797HVV					
H006H3K27acX1	ENCFF026PDY	ENCFF795TNK					
H006H3K27acX2	ENCFF607KPR	ENCFF795TNK					
H006H3K27me3X1	ENCFF032FDD	ENCFF322TIM					
H006H3K27me3X2	ENCFF119MDL	ENCFF322TIM					
H006H3K36me3X1	ENCFF199DCB	ENCFF209WPP					
H006H3K36me3X2	ENCFF445EWB	ENCFF209WPP					
H006H3K4me1X1	ENCFF117REU	ENCFF950KHU					
H006H3K4me1X2	ENCFF612KDQ	ENCFF950KHU					
H006H3K4me2X1	ENCFF981VGX	ENCFF814UKD					
H006H3K4me2X2	ENCFF775EDK	ENCFF814UKD					
H006H3K4me3X1	ENCFF143DNQ	ENCFF653XPZ					
H006H3K4me3X2	ENCFF114OCF	ENCFF653XPZ					
H006H3K9acX1	ENCFF752FJP	ENCFF755ZBP					
H006H3K9acX2	ENCFF297OTP	ENCFF755ZBP					
H006H3K9me3X1	ENCFF968YOX	ENCFF112HQQ					
H006H3K9me3X2	ENCFF009XUN	ENCFF112HQQ					
H006H4K20me1X1	ENCFF238SNI	ENCFF793YZE					
H006H4K20me1X2	ENCFF745CUE	ENCFF793YZE					
H009H3K27acX1	ENCFF043XVA	ENCFF500XXC					
H009H3K27acX2	ENCFF017ZLW	ENCFF500XXC					
H009H3K27me3X1	ENCFF114ZZJ	ENCFF060WWH					
H009H3K27me3X2	ENCFF944UFU	ENCFF060WWH					
H009H3K36me3X1	ENCFF598MCI	ENCFF374DQQ					
H009H3K36me3X2	ENCFF607QFJ	ENCFF374DQQ					
H009H3K4me1X1	ENCFF046XRC	ENCFF297XAZ					
H009H3K4me1X2	ENCFF951ARI	ENCFF297XAZ					
H009H3K4me2X1	ENCFF097JCU	ENCFF441KLK					
H009H3K4me2X2	ENCFF706QIC	ENCFF441KLK					
H009H3K4me3X1	ENCFF621FYZ	ENCFF959WWW					
H009H3K4me3X2	ENCFF930VMJ	ENCFF959WWW					
H009H3K9acX1	ENCFF173LOJ	ENCFF190IQR					
H009H3K9acX2	ENCFF358UXY	ENCFF190IQR					
H009H3K9me3X1	ENCFF828VLP	ENCFF973KEB					
H009H3K9me3X2	ENCFF705LDP	ENCFF973KEB					
H009H4K20me1X1	ENCFF453IST	ENCFF956UBN					
H009H4K20me1X2	ENCFF578BGF	ENCFF956UBN					
H012H3K27acX1	ENCFF862ZOJ	ENCFF303KLN					
H012H3K27acX2	ENCFF089GPY	ENCFF303KLN					
H012H3K27me3X1	ENCFF578BHS	ENCFF105LEZ					
H012H3K27me3X2	ENCFF338NNW	ENCFF105LEZ					
H012H3K36me3X1	ENCFF242WXJ	ENCFF336PYT					
H012H3K36me3X2	ENCFF485OWB	ENCFF336PYT					
H012H3K4me1X1	ENCFF461XUX	ENCFF181MAH					
H012H3K4me1X2	ENCFF153NUC	ENCFF181MAH					
H012H3K4me2X1	ENCFF951ECY	ENCFF935JWO					
H012H3K4me2X2	ENCFF662HBU	ENCFF935JWO					
H012H3K4me3X1	ENCFF278RAP	ENCFF867HSN					
H012H3K4me3X2	ENCFF181ECF	ENCFF867HSN					
H012H3K9acX1	NCFF366YBC.	ENCFF894SFN					
H012H3K9acX2	ENCFF175RVM	ENCFF894SFN					
H012H3K9me3X1	ENCFF505XYX	ENCFF981WBQ					
H012H3K9me3X2	ENCFF939RYF	ENCFF981WBQ					
H012H4K20me1X1	ENCFF345YMW	ENCFF110MLA					
H012H4K20me1X2	ENCFF856ISR	ENCFF110MLA					
H018H3K27acX1	ENCFF556LBE	ENCFF148PQV					
H018H3K27acX2	ENCFF767LSH	ENCFF148PQV					
H018H3K27me3X1	ENCFF890WBE	ENCFF122UXJ					
H018H3K27me3X2	ENCFF857GHU	ENCFF122UXJ					
H018H3K36me3X1	ENCFF381OQO	ENCFF764ISJ					
H018H3K36me3X2	ENCFF861WOO	ENCFF764ISJ					
H018H3K4me1X1	ENCFF039PJN	ENCFF471JTZ					
H018H3K4me1X2	ENCFF532ZRP	ENCFF471JTZ					
H018H3K4me2X1	ENCFF540CBF	ENCFF951EMM					
H018H3K4me2X2	ENCFF708PIF	ENCFF951EMM					
H018H3K4me3X1	ENCFF807AKM	ENCFF798JKT					
H018H3K4me3X2	ENCFF557YYY	ENCFF798JKT					
H018H3K9acX1	ENCFF483BPM	ENCFF021VCU					
H018H3K9acX2	ENCFF279GAX	ENCFF021VCU					
H018H3K9me3X1	ENCFF648GVK	ENCFF532OFC					
H018H3K9me3X2	ENCFF903EQA	ENCFF532OFC					
H018H4K20me1X1	ENCFF412IET	ENCFF763ZXR					
H018H4K20me1X2	ENCFF292RYC	ENCFF763ZXR					
H024H3K27acX1	ENCFF339VOB	ENCFF165QMM					
H024H3K27acX2	ENCFF985WYZ	ENCFF165QMM					
H024H3K27me3X1	ENCFF540AKV	ENCFF249UAI					
H024H3K27me3X2	ENCFF276JKJ	ENCFF249UAI					
H024H3K36me3X1	ENCFF421NNA	ENCFF871EWJ					
H024H3K36me3X2	ENCFF875UMW	ENCFF871EWJ					
H024H3K4me1X1	ENCFF407OKT	ENCFF747LWX					
H024H3K4me1X2	ENCFF486HFG	ENCFF747LWX					
H024H3K4me2X1	ENCFF461BRF	ENCFF238EQN					
H024H3K4me2X2	ENCFF037MXV	ENCFF238EQN					
H024H3K4me3X1	ENCFF508FDJ	ENCFF831EOR					
H024H3K4me3X2	ENCFF914LEA	ENCFF831EOR					
H024H3K9acX1	ENCFF855BNM	ENCFF562MXH					
H024H3K9acX2	ENCFF574MRT	ENCFF562MXH					
H024H3K9me3X1	ENCFF448KJN	ENCFF149ENY					
H024H3K9me3X2	ENCFF227XCZ	ENCFF149ENY					
H024H4K20me1X1	ENCFF383RGP	ENCFF939SHE					
H024H4K20me1X2	ENCFF200ZEI	ENCFF939SHE					
H036H3K27acX1	ENCFF172VNS	ENCFF022SXH					
H036H3K27acX2	ENCFF400AEX	ENCFF022SXH					
H036H3K27me3X1	ENCFF220XAU	ENCFF157YZN					
H036H3K27me3X2	ENCFF066EOF	ENCFF157YZN					
H036H3K36me3X1	ENCFF512AFM	ENCFF820KXN					
H036H3K36me3X2	ENCFF774DBT	ENCFF820KXN					
H036H3K4me1X1	ENCFF521PJJ	ENCFF914XAN					
H036H3K4me1X2	ENCFF469PFM	ENCFF914XAN					
H036H3K4me2X1	ENCFF508WKJ	ENCFF318LOF					
H036H3K4me2X2	ENCFF344UHP	ENCFF318LOF					
H036H3K4me3X1	ENCFF499FIQ	ENCFF284IBJ					
H036H3K4me3X2	ENCFF249LMH	ENCFF284IBJ					
H036H3K9acX1	ENCFF832NXR	ENCFF904XEX					
H036H3K9acX2	ENCFF964AIQ	ENCFF904XEX					
H036H3K9me3X1	ENCFF289MRY	ENCFF168WYI					
H036H3K9me3X2	ENCFF319YOM	ENCFF168WYI					
H036H4K20me1X1	ENCFF693EOK	ENCFF903TBS					
H036H4K20me1X2	ENCFF141GSS	ENCFF903TBS					
H048H3K27acX1	ENCFF338RSC	ENCFF175UON					
H048H3K27acX2	ENCFF675ENZ	ENCFF175UON					
H048H3K27me3X1	ENCFF931EYI	ENCFF645PHY					
H048H3K27me3X2	ENCFF036JDI	ENCFF645PHY					
H048H3K36me3X1	ENCFF963RGG	ENCFF718ICV					
H048H3K36me3X2	ENCFF258FRH	ENCFF718ICV					
H048H3K4me1X1	ENCFF110UMH	ENCFF646XHM					
H048H3K4me1X2	ENCFF544MQK	ENCFF646XHM					
H048H3K4me2X1	ENCFF359ELW	ENCFF750DCV					
H048H3K4me2X2	ENCFF587HPW	ENCFF750DCV					
H048H3K4me3X1	ENCFF636QUJ	ENCFF395ZYC					
H048H3K4me3X2	ENCFF975IQI	ENCFF395ZYC					
H048H3K9acX1	ENCFF621CIH	ENCFF028YZS					
H048H3K9acX2	ENCFF111PUY	ENCFF028YZS					
H048H3K9me3X1	ENCFF762GZK	ENCFF968UVN					
H048H3K9me3X2	ENCFF145MRO	ENCFF968UVN					
H048H4K20me1X1	ENCFF176NQR	ENCFF693CZZ					
H048H4K20me1X2	ENCFF939REJ	ENCFF693CZZ					
H072H3K27acX1	ENCFF815AET	ENCFF091CDR					
H072H3K27acX2	ENCFF712UTH	ENCFF091CDR					
H072H3K27me3X1	ENCFF673SEW	ENCFF043JKI					
H072H3K27me3X2	ENCFF712LKD	ENCFF043JKI					
H072H3K36me3X1	ENCFF984QMN	ENCFF628YNY					
H072H3K36me3X2	ENCFF072IPK	ENCFF628YNY					
H072H3K4me1X1	ENCFF156KEN	ENCFF584XSV					
H072H3K4me1X2	ENCFF802ZOI	ENCFF584XSV					
H072H3K4me2X1	ENCFF846PZQ	ENCFF869WRW					
H072H3K4me2X2	ENCFF096KGE	ENCFF869WRW					
H072H3K4me3X1	ENCFF866MPA	ENCFF931RBV					
H072H3K4me3X2	ENCFF589RLK	ENCFF931RBV					
H072H3K9acX1	ENCFF402OGK	ENCFF070BCQ					
H072H3K9acX2	ENCFF630CLM	ENCFF070BCQ					
H072H3K9me3X1	ENCFF964FSK	ENCFF821HIH					
H072H3K9me3X2	ENCFF148AHJ	ENCFF821HIH					
H072H4K20me1X1	ENCFF469DJT	ENCFF477PNF					
H072H4K20me1X2	ENCFF650QEL	ENCFF477PNF					
H120H3K27acX1	ENCFF436OAA	ENCFF673ZCH					
H120H3K27acX2	ENCFF694ELP	ENCFF673ZCH					
H120H3K27me3X1	ENCFF212LDG	ENCFF846XIJ					
H120H3K27me3X2	ENCFF966OHF	ENCFF846XIJ					
H120H3K36me3X1	ENCFF410NRA	ENCFF627IHN					
H120H3K36me3X2	ENCFF930HXY	ENCFF627IHN					
H120H3K4me1X1	ENCFF695XGN	ENCFF693IZJ					
H120H3K4me1X2	ENCFF838EVB	ENCFF693IZJ					
H120H3K4me2X1	ENCFF426CGZ	ENCFF045AHU					
H120H3K4me2X2	ENCFF453BLR	ENCFF045AHU					
H120H3K4me3X1	ENCFF629HVP	ENCFF250XNV					
H120H3K4me3X2	ENCFF163ZTQ	ENCFF250XNV					
H120H3K9acX1	ENCFF634ZRR	ENCFF501KTY					
H120H3K9acX2	ENCFF072GKB	ENCFF501KTY					
H120H3K9me3X1	ENCFF965NFJ	ENCFF404KOM					
H120H3K9me3X2	ENCFF434KCM	ENCFF404KOM					
H120H4K20me1X1	ENCFF647MWA	ENCFF917DJR					
H120H4K20me1X2	ENCFF004BHU	ENCFF917DJR					
H168H3K27acX1	ENCFF222DAC	ENCFF603FVA					
H168H3K27acX2	ENCFF658WBY	ENCFF603FVA					
H168H3K27me3X1	ENCFF498UNI	ENCFF277YUM					
H168H3K27me3X2	ENCFF977HIQ	ENCFF277YUM					
H168H3K36me3X1	ENCFF129VZZ	ENCFF974JUZ					
H168H3K36me3X2	ENCFF254YLD	ENCFF974JUZ					
H168H3K4me1X1	ENCFF385ASU	ENCFF203EXC					
H168H3K4me1X2	ENCFF069NUL	ENCFF203EXC					
H168H3K4me2X1	ENCFF709PWM	ENCFF729NUS					
H168H3K4me2X2	ENCFF622CTI	ENCFF729NUS					
H168H3K4me3X1	ENCFF138NWX	ENCFF674RMB					
H168H3K4me3X2	ENCFF150UNU	ENCFF674RMB					
H168H3K9acX1	NCFF706XSA.	ENCFF018PBJ					
H168H3K9acX2	ENCFF408RUX	ENCFF018PBJ					
H168H3K9me3X1	ENCFF656XUV	ENCFF256YQG					
H168H3K9me3X2	ENCFF773JYP	ENCFF256YQG					
H168H4K20me1X1	ENCFF018OVW	ENCFF120APV					
H168H4K20me1X2	ENCFF487CIJ	ENCFF120APV					
							
